rule_id,rule_type,primary_label,related_labels,required_symptoms,action,delta
# ── BLOCK 1: Mutual exclusion — rhythm labels ─────────────────────────────────
# NB gives correct posteriors but all rhythm labels still appear in the output
# list. ME suppresses non-winners so the clinician sees a single primary rhythm.
# Tier-1 labels (VF, VT) are NEVER suppressed regardless of Pai.
R1,mutual_exclusion,Rhythm,AF|NSR|SVT|Atrial_Flutter|Sinus_Bradycardia|Sinus_Tachycardia,,keep_highest,0

# ── BLOCK 2: Precedence — critical rhythm overrides ──────────────────────────
# If VF or VT is in the output, competing lower-acuity rhythm labels are
# clinically irrelevant and dangerous to show alongside a cardiac arrest label.
# NB cannot suppress them from the display — precedence does.
R2a,precedence,VF,AF|NSR|SVT|Atrial_Flutter|Sinus_Bradycardia|Sinus_Tachycardia,,override,0
R2b,precedence,VT,Sinus_Bradycardia|Sinus_Tachycardia|NSR,,override,0
R2c,precedence,Heart_Block_3rd,Heart_Block_2nd_MobitzI|Heart_Block_2nd_MobitzII|Heart_Block_1st,,override,0
R2d,precedence,Heart_Block_2nd_MobitzII,Heart_Block_2nd_MobitzI|Heart_Block_1st,,override,0

# ── BLOCK 3: Derived injection — safety net for below-threshold predictions ───
# If a diagnosis is below the 0.10 probability threshold it is filtered out and
# NB never sees it. These rules inject it synthetically when a pattern trigger
# and clinical evidence together make it clinically plausible.
# NOTE: boosting of existing labels was removed — injection only.
#
# Pericarditis: not predicted by the 15-label model — only reachable via ST_Elevation
R3b,derived,ST_Elevation,Pericarditis,,add_label,0.20
# Unstable_Angina: not predicted by the 15-label model — only reachable via ST_Depression
R4b,derived,ST_Depression,Unstable_Angina,,add_label,0.18
# Sgarbossa: LBBB + chest pain should surface STEMI-equivalent even if STEMI < threshold
R7,derived,LBBB,STEMI,chest_pain,add_label,0.40
# Wellens Pattern A: TWI + chest pain should surface NSTEMI even if NSTEMI < threshold
V2,derived,TWI,NSTEMI,chest_pain,add_label,0.35
# Torsades de Pointes risk: Long_QT + palpitations → treat as VT-equivalent
V8,derived,Long_QT,VT,palpitations,add_label,0.30
